query_id,user_id,candidate_id,skill_match,experience_years,distance_km,salary_match,profile_score,position,clicked,applied,hired
1,U001,C101,0.97,9,4,0.95,0.95,1,1,1,1
1,U001,C102,0.9,7,11,0.89,0.86,2,1,1,0
1,U001,C103,0.83,5,18,0.83,0.76,3,0,0,0
1,U001,C104,0.77,3,25,0.77,0.68,4,0,0,0
1,U001,C105,0.69,1,32,0.71,0.58,5,0,0,0
2,U002,C106,0.97,8,5,0.95,0.93,1,1,1,1
2,U002,C107,0.9,6,12,0.89,0.84,2,1,1,0
2,U002,C108,0.83,4,19,0.83,0.74,3,0,1,0
2,U002,C109,0.76,2,26,0.77,0.65,4,0,0,0
2,U002,C110,0.69,1,33,0.71,0.58,5,0,0,0
3,U003,C111,0.98,9,3,0.95,0.95,1,1,1,1
3,U003,C112,0.91,7,10,0.89,0.86,2,1,1,0
3,U003,C113,0.84,5,17,0.83,0.77,3,0,0,0
3,U003,C114,0.77,3,24,0.77,0.68,4,0,0,0
3,U003,C115,0.7,1,31,0.71,0.58,5,0,0,0
4,U004,C116,0.97,8,4,0.95,0.93,1,1,1,1
4,U004,C117,0.9,6,11,0.89,0.84,2,1,1,0
4,U004,C118,0.83,4,18,0.83,0.74,3,0,1,0
4,U004,C119,0.77,2,25,0.77,0.66,4,0,0,0
4,U004,C120,0.69,1,32,0.71,0.58,5,0,0,0
5,U005,C121,0.97,9,5,0.95,0.95,1,1,1,1
5,U005,C122,0.9,7,12,0.89,0.86,2,1,1,0
5,U005,C123,0.83,5,19,0.83,0.76,3,0,0,0
5,U005,C124,0.76,3,26,0.77,0.67,4,0,0,0
5,U005,C125,0.69,1,33,0.71,0.58,5,0,0,0
6,U006,C126,0.98,8,3,0.95,0.93,1,1,1,1
6,U006,C127,0.91,6,10,0.89,0.84,2,1,1,0
6,U006,C128,0.84,4,17,0.83,0.75,3,0,1,0
6,U006,C129,0.77,2,24,0.77,0.66,4,0,0,0
6,U006,C130,0.7,1,31,0.71,0.58,5,0,0,0
7,U007,C131,0.97,9,4,0.95,0.95,1,1,1,1
7,U007,C132,0.9,7,11,0.89,0.86,2,1,1,0
7,U007,C133,0.83,5,18,0.83,0.76,3,0,0,0
7,U007,C134,0.77,3,25,0.77,0.68,4,0,0,0
7,U007,C135,0.69,1,32,0.71,0.58,5,0,0,0
8,U008,C136,0.97,8,5,0.95,0.93,1,1,1,1
8,U008,C137,0.9,6,12,0.89,0.84,2,1,1,0
8,U008,C138,0.83,4,19,0.83,0.74,3,0,1,0
8,U008,C139,0.76,2,26,0.77,0.65,4,0,0,0
8,U008,C140,0.69,1,33,0.71,0.58,5,0,0,0
9,U009,C141,0.98,9,3,0.95,0.95,1,1,1,1
9,U009,C142,0.91,7,10,0.89,0.86,2,1,1,0
9,U009,C143,0.84,5,17,0.83,0.77,3,0,0,0
9,U009,C144,0.77,3,24,0.77,0.68,4,0,0,0
9,U009,C145,0.7,1,31,0.71,0.58,5,0,0,0
10,U010,C146,0.97,8,4,0.95,0.93,1,1,1,1
10,U010,C147,0.9,6,11,0.89,0.84,2,1,1,0
10,U010,C148,0.83,4,18,0.83,0.74,3,0,1,0
10,U010,C149,0.77,2,25,0.77,0.66,4,0,0,0
10,U010,C150,0.69,1,32,0.71,0.58,5,0,0,0
